"","naics","year","emp","pay","prode","prodh","prodw","vship.x","matcost","vadd","invest","invent","energy","cap","equip","plant","piship","pimat","piinv","pien","dtfp5","tfp5","dtfp4","tfp4","m","m5","mCHN","lwc5","chn","x","vship.y","pen5","penCHN","pen5_lag","pen5_lag2","pen5_lag3","pen5_lag4","pen5_lag5","x_lag","x_lag2","vship_lag","vship_lag2","vship_pc","vship_pc_lag","dm","dm_lag","dm_pc","dm_pc_lag","m_lag","m_pc","m_pc_lag","x_pc","x_pc_lag","x_pc_lag2","x_pc_lag3","m5_lag","m5_lag2","m0","m0_lag","prod","prod_lag","prod_lag2","prod_lag3","prod_pc","prod_pc_lag","cap_lag","cap_lag2","cap_lag3","invest_lag","invest_lag2","invest_lag3","invest_pc","invest_pc_lag","emp_lag","plant_lag","equip_lag","equip_pc","equip_pc_lag","emp_pc","emp_pc_lag","emp_pc_lag2","emp_pc_lag3","cap_pc","cap_pc_lag","cap_pc_lag2","cap_pc_lag3"
"14",311111,2002,14.5,635,11,23.4,436.7,10662.2,4786.7,5924.7,226.8,456.1,134.4,3.4684,2491.9,976.5,1.019000053,0.968999982,0.963999987,1.074000001,0.068000004,1.05400002,0.068999998,1.05400002,154.041044437792,0.761540025472641,0.713765025138855,0.00494374753907323,0.00463360268622637,698.778198242188,10662.2,0.0000752698613327745,0.0000705478305462748,0.000137956057777134,0.0000517509940494384,0.0000408314285549089,0.0000345452189935289,0.0000632376527197008,925.468933105469,824.793640136719,9734.9,8751.4,0.0952552157700645,0.11238201887698,10117.4628461956,8941.80378602594,0.131478959760553,8941.80378602594,132.37271913141,0.163691774623677,0.0527380939732519,-0.244946887738961,0.122061189695961,0.137001438266851,-0.0300766593698158,1.23357599973679,0.416716998908669,153.27950441232,131.139143131673,408.6,365.524822695035,289.391891891892,299.274647887324,0.117844738935563,0.263079004409649,3.3593,3.1842,3.0979,282.8,332.5,242.8,-0.198019801980198,-0.149473684210526,14.1,966.4,2392.9,0.0413723933302687,0.0704571888700009,0.0283687943262412,-0.0472972972972974,0.0422535211267607,0.00709219858156026,0.0324770041377667,0.0549902644306264,0.0278575809419283,0.0179076033383716
"33",311119,2002,32.5,1118.5,20.1,40.4,591.8,17318.2,12735.1,4649.5,322.7,923.1,229.5,4.9726,3130.1,1842.5,0.824999988,0.995999992,0.978999972,1.06400001,0.012,1.192999959,0.012,1.194000006,252.652483413694,32.7391380816698,23.1894288808107,0.129581704735756,0.0917838960886002,449.603576660156,17318.2,0.00191219333706175,0.00135442393366247,0.00153692854982504,0.00151751879340342,0.000868133502090715,0.000498229706379794,0.000688090482674832,445.733184814453,377.502105712891,16990,15483.8,0.0193172454384933,0.0972758625143699,17121.2489067535,16801.6713062378,0.0190205840056567,16801.6713062378,257.404491052264,-0.0184612460301054,-0.0255832790211248,0.00868320326500767,0.180743572205278,0.213411514902953,-0.12207830256347,25.8229683153331,23.3249627202749,219.913345332025,231.581522736931,143.061538461538,131.257062146893,104.985507246377,115.369501466276,0.0899340280939335,0.250239824425123,4.8494,4.8199,4.6783,352.3,265,366.6,-0.0840193017314789,0.329433962264151,35.4,1847.9,3001.6,0.0428105010660981,0.0126513950271583,-0.0819209039548022,0.0260869565217391,0.0117302052785923,0.0859872611464969,0.0254052047676004,0.00612045893068313,0.0302674048265394,0.0339470020111831
"52",311211,2002,11.6,448.6,8.4,18.4,285.8,6905.7,4922.5,2003.9,164.7,794.3,172.2,2.801,1700.9,1100.1,0.944999993,1.06099999,0.99000001,1.016000032,0.057,1.103999972,0.057999998,1.103999972,183.759319603909,12.1923372321762,5.66631822125055,0.0663494914770126,0.0308355428278446,344.780090332031,6905.7,0.00180769712209018,0.000840116757899523,0.00181470653358515,0.00125897072595376,0.00179944523938857,0.00142889238553733,0.00122889246778638,290.487243652344,304.752990722656,6255.6,6612.1,0.103922885094955,-0.0539163049560654,6744.67922927188,6105.28476855243,0.104728032345501,6105.28476855243,140.17201220477,0.310955851411082,0.109773284119392,0.186902688039084,-0.04681085175402,-0.0834960013898792,0.136639685510427,11.07930015889,8.09978192020208,171.566982371733,129.09271204588,172.75,145.206896551724,167.936507936508,137.694214876033,0.189681785799097,-0.135346457206179,2.8273,2.7676,2.7329,115.4,190.7,163.8,0.427209705372617,-0.394861038280021,11.6,1101.6,1725.7,-0.0143709798922176,0.0275081869604049,0,-0.0793650793650794,0.0413223140495868,0.110091743119266,-0.00930216107240123,0.0215710362769187,0.0126971349116323,0.0221033734759516
"71",311212,2002,3.8,131.5,3,6.2,91.5,1758.9,1237.1,530.1,42.3,199.6,43.9,0.7727,532.4,240.2,0.574000001,1.055999994,0.981999993,1.039999962,0.202999994,1.756999969,0.202999994,1.75999999,170.790558619658,48.5924300684128,0.436962999636307,0.284514725208282,0.00255847279913723,588.174682617188,1758.9,0.0362220313137191,0.000325723318383098,0.0324744603741286,0.0356582901028586,0.0360329370997945,0.029209085573547,0.0343271670776636,566.748107910156,667.586364746094,1809.6,1968.6,-0.0280172413793102,-0.0807680585187443,1341.51587600247,1419.33612398934,-0.0548286249265158,1419.33612398934,176.484231899492,-0.0322616543050568,-0.0603296843122379,0.0378061689275686,-0.151049006032785,-0.165757823040423,-0.00552118122786246,46.092174716061,53.089085345855,122.198128551245,130.392057183431,139.5,124.731707317073,126.095238095238,140.674418604651,0.118400469299961,-0.0108134993736644,0.767,0.7444,0.7406,46.8,62.5,42.6,-0.0961538461538462,-0.2512,4.1,236.6,530.4,0.00377073906485671,0.0213749277874062,-0.073170731707317,-0.0238095238095239,-0.0232558139534883,0.194444444444444,0.00743155149934816,0.0303600214938206,0.00513097488522808,-0.0230840258541089
"90",311213,2002,0.9,41.6,0.6,1.1,23.6,478.9,345.1,132.8,11.8,55.7,11.9,0.6397,425.5,214.2,0.893000007,1.078999996,0.987999976,1.149999976,0.119000003,1.065999985,0.101000004,1.050999999,55.7818427155726,0,0,0,0,36.2288360595703,478.9,0,0,0,0,0,0,0,45.3037452697754,34.9009475708008,499.8,507.5,-0.0418167266906763,-0.0151724137931034,498.453006656002,500.89316810919,-0.00487162055413683,500.89316810919,46.3969133789651,0.202274863846057,0.147621577435266,-0.200312560389117,0.29806633982849,-0.110495686828569,-0.116681553833791,0,0,55.7818427155726,46.3969133789651,147.555555555556,143.222222222222,150.666666666667,118.222222222222,0.0302560124127231,-0.049410029498525,0.6473,0.6608,0.6741,26.8,21.5,21.8,-0.559701492537313,0.246511627906977,0.9,215.3,431.9,-0.014818244964112,-0.0285650022492129,0,0,0,-0.25,-0.0117410783253514,-0.0204297820823244,-0.0197300103842161,0.02837528604119
"109",311221,2002,9,479.1,6.1,13.6,301.7,7860,4741.4,3150.8,238.6,472.8,739.7,8.1442,6163.3,1980.8,0.880999982,1.069000006,0.962000012,1.101999998,0.092,1.143000007,0.094999999,1.146999955,283.024026567582,4.8414690005593,2.56639600591734,0.0171062126755714,0.0090677672997117,1134.03271484375,7860,0.000690751177342887,0.000366157677490264,0.000760705831627111,0.00155864696570488,0.000957479716516161,0.00103270363518032,0.00105492413897507,1156.57800292969,1167.671875,7582.6,7335,0.0365837575501806,0.0337559645535106,7008.99131172383,6679.72149297306,0.0492939442306321,6679.72149297306,253.699495902751,0.115587658384912,-0.120690029846802,-0.0194930977667125,-0.00950084720530971,-0.0210309768752898,-0.147521905518362,5.08130309334956,10.0623898340855,278.182557567023,248.618192809401,350.088888888889,333.686046511628,312.108695652174,322.648351648352,0.0491565126823168,0.069134090655073,7.8669,7.5298,7.5061,688,712.9,419.8,-0.653197674418605,-0.034927759854117,8.6,1956.3,5910.7,0.0427360549511903,0.0579948806988025,0.0465116279069768,-0.0652173913043478,0.0109890109890109,-0.0215053763440861,0.0352489544801638,0.0447687853595048,0.00315743195534297,0.00461748487606397
"128",311222,2002,7.3,290.7,5.2,11.3,181.4,12783.5,9846.6,3042.8,185.4,1065.4,298.6,3.0745,2209.2,865.3,0.745000005,1.011000037,0.97299999,1.093999982,0.119999997,1.478999972,0.120999999,1.480000019,53.4319208024535,0.329539000056684,0.324035000056028,0.00616745557636023,0.00606444617733359,2381.40185546875,12783.5,0.0000315181533597519,0.0000309917340928223,0.000134836668637199,0.0000311952347558977,0.0000239836820451871,0.00000567557319210299,0.0000248258830590784,2466.6904296875,1982.98522949219,11030.5,10113.1,0.158922986265355,0.0907140243842145,10455.5300653337,8594.47951527638,0.216540227566936,8594.47951527638,30.6699449638836,0.742159005025083,-0.0500473541837333,-0.034576115913157,0.243927787762283,-0.0562874414994725,-0.236465108356757,1.15885098651052,0.25462800078094,53.1023818023968,29.5110939773731,416.821917808219,341.378787878788,254.723076923077,212.938461538462,0.220995365289711,0.340195760833557,3.0804,3.1041,2.8379,163.6,143,389.3,0.133251833740831,0.144055944055944,6.6,850.2,2230.2,-0.00941619585687382,-0.0117866004962781,0.106060606060606,0.0153846153846153,0,0.0156249999999999,-0.00191533567069212,-0.00763506330337291,0.0938017548187038,0.0688888888888891
"147",311223,2002,1.6,53.6,1.1,2.6,34,1138.1,774.3,368.3,14.6,83.8,26.6,0.9442,590.6,353.6,0.778999984,0.862999976,0.986999989,1.070000052,0.090000004,1.208999991,0.089000002,1.207000017,1219.24695338565,172.817325009732,9.60124797001481,0.141741037368774,0.00787473563104868,273.820587158203,1138.1,0.0829446307044555,0.00460817199200392,0.0836669160352802,0.102164232574476,0.0971258759464115,0.121394958081909,0.116241207484956,266.231872558594,276.65087890625,1367.2,1327.3,-0.16756875365711,0.0300610261432985,2083.52636622745,2216.77423479459,-0.0601089035029736,2216.77423479459,1115.80610735319,0.0927050366105595,-0.152824595186634,0.0285041551437055,-0.0376612081944153,-0.261863297475093,-0.129557864482801,185.470663771732,241.898232567357,1046.42962837592,930.335443581454,230.1875,163.722222222222,157.789473684211,76.4736842105263,0.405963691890058,0.0375991401675192,0.9688,1.0011,0.9937,25.3,19.7,56.2,-0.422924901185771,0.284263959390863,1.8,357.3,611.5,-0.0341782502044153,-0.044680518668958,-0.111111111111111,-0.0526315789473684,0,-0.269230769230769,-0.0253922378199834,-0.032264509040056,0.00744691556807897,0.0546593080025472
"166",311225,2002,8.2,320.6,6,12.8,208,7172.6,5467,1719.4,109.8,389.4,114.1,2.3885,1639.7,748.9,0.973999977,0.94599998,0.977999985,1.082999945,-0.008,0.963,-0.007,0.963999987,103.366982601816,2.36280309129506,0.10088399797678,0.0228583924472332,0.000975978909991682,15.0826854705811,7172.6,0.000325415334359288,0.0000138941750265076,0.000338604423712495,0.000690520081344392,0.000439859138317193,0.000313508051241378,0.000284283411275713,15.7120056152344,28.0143241882324,6218.4,5927.6,0.153447832239805,0.049058640933936,7260.88429713124,6295.735821199,0.153301933775936,6295.735821199,93.0478268142324,0.110901631353362,-0.0410197562499754,-0.0400534572138347,-0.439143864058149,-0.0344137479592951,0.18636102819329,2.1317639995832,4.14078208524734,101.004179510521,90.9160628146492,209.682926829268,222.506493506494,233.608108108108,167.943820224719,-0.0576323255790778,-0.0475223856377324,2.397,2.4234,2.3742,117.9,102.7,165.6,-0.068702290076336,0.148003894839338,7.7,747.3,1649.6,-0.00600145489815705,-0.0187377312473975,0.0649350649350648,0.0405405405405405,-0.168539325842697,0.1125,-0.00354609929078003,-0.0108937855904928,0.0207227697750823,0.134135855546002
"185",311230,2002,13,703.7,10.7,22.9,548.7,8934.9,2293.7,6670.3,246.9,312.3,100.6,5.3427,3962.2,1380.5,0.996999979,1.052999973,0.957000017,1.083999991,-0.194999993,1.008999944,-0.194000006,1.008999944,229.268020636169,2.34021796938032,0.194626002106816,0.0102073457092047,0.000848901632707566,382.053924560547,8934.9,0.000266475468637565,0.0000221616337512387,0.000214047193448546,0.000143001908430246,0.000145625063162806,0.000227466259749605,0.000153575486966603,261.903503417969,180.935577392578,11412.8,11040.3,-0.217115869900463,0.0337400251804752,8782.11409607562,11340.6998751312,-0.225610924125261,11340.6998751312,189.803378549172,0.207923812466666,0.344062533917839,0.458758357847667,0.447495883298361,-0.0171884769853337,-0.0193037865619999,2.42744498001412,1.57310402020812,226.927802666789,187.375933569157,513.1,621.457142857143,576.828767123288,558.442176870748,-0.174359799549446,0.0773684987252318,5.3493,5.3313,5.2993,286.4,304.2,306.9,-0.137918994413408,-0.0585141354372124,14,1386,3963.3,-0.000277546489037005,0.00519935071522776,-0.0714285714285714,-0.0410958904109589,-0.00680272108843535,-0.0134228187919464,-0.0012338062924122,0.00337628720949858,0.00603853339120262,0.0191353513596678
